Bill,Com 1,Pass Com 1,Incorporated,Pass Floor 1,Com 2,Pass Com 2,Pass Floor 2,Amended,To Gov,Returned,Passed,Disposition,VV
HB1740,,,,,,,,,,,,DIC,0
HB1752,,,,,,,,,,,,DIC,0
HB1765,,,,,,,,,,,,DIC,0
HB1774,,,,,,,,,,,,PIL,0
HB1796,,,,,,,,,,,,PIL,0
HB1797,,,,,,,,,,,,DIC,0
HB1813,,,,,,,,,,,,PIL,0
HB1828,,,,,,,,,,,,PIL,0
HB1832,,,,,,,,,,,,PIL,0
HB1840,,,,,,,,,,,,DIC,0
HB1841,,,,,,,,,,,,PIL,0
HB1846,,,,,,,,,,,,PIL,0
HB1850,,,,,,,,,,,,PIL,0
HB1851,,,,,,,,,,,,PIL,0
HB1854,,,,,,,,,,,,PIL,0
HB1857,,,,,,,,,,,,DIC,0
HB1861,,,,,,,,,,,,DIC,0
HB1868,,,,,,,,,,,,PIL,0
HB1871,,,,,,,,,,,,DIC,0
HB1886,,,,,,,,,,,,DIC,0
HB1887,,,,,,,,,,,,PIL,0
HB1893,,,,,,,,,,,,PIL,0
HB1895,,,,,,,,,,,,PIL,0
HB1901,,,,,,,,,,,,PIL,0
HB1903,,,,,,,,,,,,PIL,0
HB1910,,,,,,,,,,,,DIC,0
HB1918,,,,,,,,,,,,PIL,0
HB1926,,,,,,,,,,,,PIL,0
HB1960,,,,,,,,,,,,PIL,0
HB1971,,,,,,,,,,,,PIL,0
HB1979,,,,,,,,,,,,PIL,0
HB2024,,,,,,,,,,,,PIL,0
HB2026,,,,,,,,,,,,DIC,0
HB2054,,,,,,,,,,,,PIL,0
HB2069,,,,,,,,,,,,PIL,0
HB2071,,,,,,,,,,,,PIL,0
HB2075,,,,,,,,,,,,PIL,0
HB2076,,,,,,,,,,,,DIC,0
HB2077,,,,,,,,,,,,DIC,0
HB2096,,,,,,,,,,,,DIC,0
HB2102,,,,,,,,,,,,DIC,0
HB2104,,,,,,,,,,,,DIC,0
HB2106,,,,,,,,,,,,DIC,0
HB2119,,,,,,,,,,,,PIL,0
HB2122,,,,,,,,,,,,DIC,0
HB2138,,,,,,,,,,,,PIL,0
HB2146,,,,,,,,,,,,DIH,0
HB2163,,,,,,,,,,,,PIL,0
HB2237,,,,,,,,,,,,DIC,0
HB2245,,,,,,,,,,,,DIC,0
HB2248,,,,,,,,,,,,DIC,0
HB2253,,,,,,,,,,,,DIC,0
HB2256,,,,,,,,,,,,DIC,0
HB2260,,,,,,,,,,,,DIC,0
HB2261,,,,,,,,,,,,PIL,0
HB2262,,,,,,,,,,,,PIL,0
HB2282,,,,,,,,,,,,PIL,0
HB2283,,,,,,,,,,,,DIC,0
HB2284,,,,,,,,,,,,PIL,0
HB2294,,,,,,,,,,,,PIL,0
HB2318,,,,,,,,,,,,PIL,0
HB2327,,,,,,,,,,,,PIL,0
SB1098,,,,,,,,,,,,PIL,0
SB1126,,,,,,,,,,,,PIL,0
SB1136,,,,,,,,,,,,PIL,0
SB1139,,,,,,,,,,,,PIL,0
SB1144,,,,,,,,,,,,PIL,1
SB1158,,,,,,,,,,,,PIL,1
SB1160,,,,,,,,,,,,PIL,1
SB1169,,,,,,,,,,,,PIL,1
SB1182,,,,,,,,,,,,PIL,1
SB1195,,,,,,,,,,,,DIC,1
SB1198,,,,,,,,,,,,DIC,1
SB1202,,,,,,,,,,,,DIC,1
SB1211,,,,,,,,,,,,DIC,1
SB1212,,,,,,,,,,,,PIL,1
SB1213,,,,,,,,,,,,PIL,1
SB1214,,,,,,,,,,,,PIL,1
SB1217,,,,,,,,,,,,DIC,0
SB1223,,,,,,,,,,,,PIL,1
SB1229,,,,,,,,,,,,PIL,1
SB1253,,,,,,,,,,,,PIL,1
SB1259,,,,,,,,,,,,PIL,1
SB1260,,,,,,,,,,,,PIL,1
SB1262,,,,,,,,,,,,PIL,1
SB1263,,,,,,,,,,,,DIC,0
SB1277,,,,,,,,,,,,PIL,1
SB1308,,,,,,,,,,,,PIL,0
SB1329,,,,,,,,,,,,PIL,1
SB1335,,,,,,,,,,,,PIL,1
SB1336,,,,,,,,,,,,PIL,1
SB1337,,,,,,,,,,,,PIL,0
SB1347,,,,,,,,,,,,DIC,0
SB1350,,,,,,,,,,,,PIL,1
SB1364,,,,,,,,,,,,DIC,0
SB1386,,,,,,,,,,,,DIC,0
SB1452,,,,,,,,,,,,DIC,0
SB1470,,,,,,,,,,,,PIL,1
SB1474,,,,,,,,,,,,DIC,0
