Bill,Com 1,Pass Com 1,Incorporated,Pass Floor 1,Com 2,Pass Com 2,Pass Floor 2,Amended,To Gov,Returned,Passed,Disposition,VV
HB1,H-T;H-A,0,0,0,,,,,,,,DiC,0
HB10,H-T,1,0,1,S-T,1,1,0,1,0,1,PiL,0
HB37,H-T,0,0,0,,,,,,,,DiC,1
HB41,H-T,1,0,1,S-T,1,1,0,1,0,1,PiL,0
HB50,H-T,0,0,0,,,,,,,,DiC,1
HB73,H-MPP;H-T,0,0,0,,,,,,,,DiC,0
HB75,H-CJ,0,0,0,,,,,,,,DiC,1
HB78,H-T,0,0,0,,,,,,,,DiC,0
HB97,H-T,1,0,1,S-T,1,1,0,1,0,1,PiL,0
HB99,H-T,0,0,0,,,,,,,,DiC,0
HB109,H-T,0,0,0,,,,,,,,DiC,0
HB117,H-T,1,0,1,S-T,1,1,0,1,0,1,PiL,0
HB126,H-T,0,0,0,,,,,,,,DiC,0
HB141,H-MPP,0,0,0,,,,,,,,DiC,0
HB160,H-ACNR,0,0,0,,,,,,,,DiC,0
HB168,H-T;H-CJ,1,0,1,S-T;S-CJ,1,1,1,1,0,1,PiL,0
HB169,H-T,0,1,0,,,,,,,,,0
HB172,H-CJ,1,0,1,S-CJ,1,1,0,1,0,1,PiL,0
HB178,H-T,0,0,0,,,,,,,,DiC,0
HB201,H-T,0,0,0,,,,,,,,DiC,0
HB213,H-T,1,0,1,S-T,1,1,1,1,0,1,PiL,0
HB224,H-T,0,0,0,,,,,,,,DIC,0
HB225,H-T,0,0,0,,,,,,,,DIC,0
HB243,H-T,0,0,0,,,,,,,,DIC,0
HB267,H-T,1,0,1,S-T,1,1,0,1,0,1,PIL,0
HB289,H-T,1,0,1,S-T,1,0,1,,,,DIH,0
HB296,H-CJ,0,0,0,,,,,,,,DIC,0
HB329,H-T,1,0,1,S-T,1,1,0,1,0,1,PIL,0
HB341,H-T,0,0,0,,,,,,,,DIC,0
HB374,H-T,1,0,1,S-T,1,1,0,1,0,1,PIL,0
HB380,H-T,0,0,0,,,,,,,,DIC,0
HB388,H-T,1,0,1,S-T,1,1,0,1,0,1,PIL,0
HB403,H-T,0,0,0,,,,,,,,DIC,0
HB407,H-T,1,0,1,S-T,1,1,0,1,0,1,PIL,0
HB410,H-T,0,0,0,,,,,,,,DIC,1
HB414,H-T,0,0,0,,,,,,,,DIC,1
HB454,H-T,1,0,1,S-T,1,1,1,1,0,1,PIL,0
