Bill,SC Position,Com 1,Pass Com 1,Incorporated,Pass Floor 1,Com 2,Pass Com 2,Pass Floor 2,Amended,To Gov,Returned,Passed,Disposition
HB461,0,H-ACNR; H-A,1,0,1,S-ACNR,0,0,,,,0,DiC
HJ506,1,H-R,1,0,1,S-R,1,1,1,0,0,0,DiH
HJ608,-1,H-R,1,0,1,S-R,0,0,,0,0,0,DiC
HB881,1,H-CL,0,0,,,,,,,,0,DiC
HB910,1,H-F,0,0,,,,,,,,0,DiC
HB1001,0,H-CL,0,0,,,,,,,,0,DiC
HB1059,0,H-CL,1,0,1,S-CL,0,,,,,0,DiC
HB1228,1,H-CL,0,0,,,,,,,,0,DiC
HB1234,0,H-ACNR,0,0,,,,,,,,0,DiC
HB1297,1,H-F,1,0,1,S-F,1,1,0,1,0,1,PiL
HB1345,1?,H-F,1,0,1,S-F,1,1,0,1,0,1,PiL
HB1364,1,H-ACNR,1,0,1,S-ACNR,1,1,0,1,0,1,PiL
HB1446,1,H-CCT,1,0,1,S-LG,1,1,0,1,0,1,PiL
HB1475,0,H-CL,1,0,1,S-CL,1,1,0,1,0,1,PiL
HB1488,0,H-ACNR,1,0,1,S-ACNR,1,1,0,1,0,1,PiL
HB1622,1,H-CL,0,0,,,,,,,,0,DiC
HB1636,1,H-CL,0,0,,,,,,,,0,DiC
HB1650,1,H-ACNR;H-A,0,0,,,,,,,,0,DiC
HB1651,-1,H-F,0,0,,,,,,,,0,DiC
HB1665,1,H-ACNR;H-CCT,0,0,,,,,,,,0,DiC
HB1705,1,H-F,1,0,1,S-F,1,1,0,1,0,1,PiL
HB1709,0,H-A,0,0,,,,,,,,0,DiC
HB1725,1,H-CL,0,0,,,,,,,,0,DiC
HB1728,1,H-F,0,0,,,,,,,,0,DiC
HB1729,1,H-CL,0,0,,,,,,,,0,DiC
HB1730,1,H-CL,0,0,,,,,,,,0,DiC
HB1731,1,H-GL,0,0,,,,,,,,0,DiC
HB1778,1,H-F,0,0,,,,,,,,0,DiC
HB1817,1,H-ACNR,1,0,1,S-ACNR,1,1,0,1,0,1,PiL
HB1843,1,H-F,1,0,1,S-F,1,1,1,1,0,1,PiL
HB1846,1,H-ACNR,0,0,,,,,,,,0,DiC
HB1911,1,H-CL,0,0,,,,,,,,0,DiC
HB1912,0,H-CL,0,0,,,,,,,,0,DiC
HB1913,1,H-CL,0,0,,,,,,,,0,DiC
HB1925,1,H-CL,0,0,,,,,,,,0,DiC
HB1950,1,H-CL,1,0,1,S-CL,1,1,0,1,0,1,PiL
HB2058,0,H-ACNR,1,0,1,S-ACNR,1,1,1,1,0,1,PiL
HB2073,1,H-CL,0,0,,,,,,,,0,DiC
HB2075,1,H-CL,0,0,,,,,,,,0,DiC
HB2155,1,H-CL,0,0,,,,,,,,0,DiC
HB2205,1,H-CL,0,0,,,,,,,,0,DiC
HB2219,1,H-CL,0,0,,,,,,,,0,DiC
HB2237,1,H-CL,1,0,1,S-CL,1,1,0,1,0,1,PiL
HB2244,0,H-CL,1,0,1,S-CL,0,,,,,0,DiC
HB2267,1,H-CL;H-A,1,0,1,S-CL,1,1,1,1,0,1,PiL
HB2274,0,H-CL,1,0,1,S-CL,0,,,,,0,DiC
HB2282,1,H-F,0,0,,,,,,,,0,DiC
HB2291,0,H-CL,1,0,0,,,,,,,0,DiH
HB2334,0,H-CL,0,0,,,,,,,,0,DiC
HB2352,0,H-CL,0,0,,,,,,,,0,DiC
SJ271,0,S-R,1,0,1,H-R,1,1,1,0,0,0,DiS
SJ273,0,S-R;S-F,1,0,1,H-A;H-R,1,1,1,0,0,1,JRP
SJ291,1,S-R;S-F,1,0,0,,,,,,,0,DiS
SJ294,-1,S-R,0,0,,,,,,,,0,DiC
SJ308,-1,S-R,0,0,,,,,,,,0,DiC
SB350 ,1,S-CL,0,0,,,,,,,,0,DiC
SB505,-1,S-T;S-F,0,0,,,,,,,,0,DiC
SB740,0,S-R; S-ACNR,0,0,,,,,,,,0,DiC
SB764,1,S-CL,0,1,,,,,,,,0,Inc
SB778,0,S-T,1,0,1,H-T,1,1,0,1,0,1,PiL
SB801,1,S-LG,1,0,1,H-CCT,1,1,1,1,0,1,PiL
SB833,1,S-CL,0,0,,,,,,,,0,DiC
SB1037,0,S-F,1,0,1,H-F,1,1,1,1,0,1,PiL
SB1079,0,S-ACNR,1,0,1,H-ACNR,1,1,0,1,0,1,PiL
SB1099,1,S-CL,1,0,1,H-CL,1,1,1,1,0,1,PiL
SB1160,1,S-CL,0,0,,,,,,,,0,DiC
SB1163,-1,S-CL,1,0,1,H-CL,1,1,0,1,0,1,PiL
SB1169,0,S-CL,0,0,,,,,,,,0,DiC
SB1202,0,S-ACNR,0,0,,,,,,,,0,DiC
SB1246,0,S-T,0,0,,,,,,,,0,DiC
SB1266,0,S-ACNR,0,0,,,,,,,,0,DiC
SB1308,1,S-F,1,0,1,H-F,1,1,1,1,0,1,PiL
SB1323,1,S-R,0,0,,,,,,,,0,DiC
SB1331,1,S-CL,1,0,1,H-CL,1,1,1,1,0,1,PiL
SB1334,0,S-CL,1,0,1,H-CL,1,1,0,1,0,1,PiL
SB1338,0,S-CL,0,0,,,,,,,,0,DiC
SB1343,-1,S-R,0,0,,,,,,,,0,DiC
SB1349,0,S-CL,1,0,1,H-CL,1,1,0,1,0,1,PiL
SB1365,1,S-ACNR,1,0,1,H-ACNR,1,1,1,0,0,0,DiS
SB1395,1,S-CL,1,0,1,H-CL,1,1,1,1,0,1,PiL
SB1396,0,S-LG,0,0,,,,,,,,0,DiC
SB1413,1,S-ACNR,1,0,1,H-ACNR,1,1,0,1,0,1,PiL
SB1428,1,S-ACNR,0,0,,,,,,,,0,DiC
SB1442,-1,S-ACNR,0,0,,,,,,,,0,DiC
SB1449,0,S-GLT; S-F,1,0,1,H-A,0,0,,,,0,DiC
SB1462,-1,S-CL,0,0,,,,,,,,0,DiC
