Bill,Com 1,Pass Com 1,Incorporated,Pass Floor 1,Com 2,Pass Com 2,Pass Floor 2,Amended,To Gov,Returned,Passed,Disposition,VV
HB1048,,,,,,,,,,,,DIC,0
HB1059,,,,,,,,,,,,DIC,0
HB1072,,,,,,,,,,,,DIC,0
HB1091,,,,,,,,,,,,DIC,0
HB1092,,,,,,,,,,,,PIL,0
HB1113,,,,,,,,,,,,DIC,0
HB1142,,,,,,,,,,,,DIC,0
HB1144,,,,,,,,,,,,DIC,0
HB1151,,,,,,,,,,,,PIL,0
HB1154,,,,,,,,,,,,DIC,0
HB1190,,,,,,,,,,,,DIC,1
HB1229,,,,,,,,,,,,DIC,0
HB1238,,,,,,,,,,,,PIL,0
HB135,,,,,,,,,,,,DIC,0
HB136,,,,,,,,,,,,DIC,0
HB137,,,,,,,,,,,,PIL,0
HB138,,,,,,,,,,,,PIL,0
HB142,,,,,,,,,,,,PIL,0
HB168,,,,,,,,,,,,DIC,0
HB179,,,,,,,,,,,,PIL,0
HB259,,,,,,,,,,,,PIL,0
HB261,,,,,,,,,,,,DIC,0
HB275,,,,,,,,,,,,PIL,0
HB297,,,,,,,,,,,,DIC,0
HB297,,,,,,,,,,,,DIC,0
HB31,,,,,,,,,,,,DIC,0
HB313,,,,,,,,,,,,DIC,0
HB316,,,,,,,,,,,,PIL,0
HB367,,,,,,,,,,,,DIC,0
HB386,,,,,,,,,,,,PIL,0
HB42,,,,,,,,,,,,DIC,0
HB436,,,,,,,,,,,,DIC,0
HB443,,,,,,,,,,,,PIL,0
HB446,,,,,,,,,,,,DIC,0
HB450,,,,,,,,,,,,PIL,0
HB452,,,,,,,,,,,,DIC,0
HB462,,,,,,,,,,,,PIL,0
HB482,,,,,,,,,,,,PIL,0
HB506,,,,,,,,,,,,DIC,0
HB540,,,,,,,,,,,,PIL,0
HB546,,,,,,,,,,,,DIC,0
HB550,,,,,,,,,,,,DIC,0
HB553,,,,,,,,,,,,PIL,0
HB567,,,,,,,,,,,,DIC,1
HB607,,,,,,,,,,,,DIC,0
HB620,,,,,,,,,,,,DIC,0
HB625,,,,,,,,,,,,DIC,0
HB628,,,,,,,,,,,,DIC,1
HB630,,,,,,,,,,,,DIC,0
HB632,,,,,,,,,,,,PIL,0
HB633,,,,,,,,,,,,DIC,0
HB637,,,,,,,,,,,,DIC,0
HB641,,,,,,,,,,,,PIL,0
HB66,,,,,,,,,,,,DIC,0
HB667,,,,,,,,,,,,PIL,0
HB67,,,,,,,,,,,,PIL,0
HB686,,,,,,,,,,,,DIC,1
HB693,,,,,,,,,,,,PIL,0
HB699,,,,,,,,,,,,DIC,1
HB703,,,,,,,,,,,,PIL,0
HB704,,,,,,,,,,,,DIC,0
HB728,,,,,,,,,,,,DIC,0
HB747,,,,,,,,,,,,DIC,0
HB759,,,,,,,,,,,,DIC,0
HB793,,,,,,,,,,,,PIL,0
HB799,,,,,,,,,,,,DIC,0
HB838,,,,,,,,,,,,DIC,0
HB859,,,,,,,,,,,,DIC,1
HB867,,,,,,,,,,,,DIC,0
HB872,,,,,,,,,,,,DIC,0
HB88,,,,,,,,,,,,PIL,0
HB920,,,,,,,,,,,,PIL,0
HB949,,,,,,,,,,,,DIC,0
HB986,,,,,,,,,,,,DIC,0
HB992,,,,,,,,,,,,DIC,0
HJ100,,,,,,,,,,,,DIC,0
HJ112,,,,,,,,,,,,DIC,0
HJ33,,,,,,,,,,,,DIC,0
HJ76,,,,,,,,,,,,DIC,0
HJ84,,,,,,,,,,,,DIC,0
SB105,,,,,,,,,,,,DIC,0
SB116,,,,,,,,,,,,DIC,0
SB131,,,,,,,,,,,,PIL,0
SB180,,,,,,,,,,,,DIC,0
SB186,,,,,,,,,,,,PIL,0
SB216,,,,,,,,,,,,PIL,0
SB220,,,,,,,,,,,,DIC,0
SB237,,,,,,,,,,,,PIL,0
SB246,,,,,,,,,,,,DIC,0
SB247,,,,,,,,,,,,PIL,0
SB251,,,,,,,,,,,,DIC,0
SB277,,,,,,,,,,,,DIC,0
SB278,,,,,,,,,,,,V,0
SB281,,,,,,,,,,,,PIL,0
SB32,,,,,,,,,,,,DIC,0
SB320,,,,,,,,,,,,DIC,0
SB325,,,,,,,,,,,,PIL,0
SB33,,,1,,,,,,,,,I,0
SB332,,,,,,,,,,,,DIC,0
SB333,,,,,,,,,,,,DIC,0
SB334,,,,,,,,,,,,DIC,0
SB339,,,,,,,,,,,,DIC,0
SB34,,,,,,,,,,,,PIL,0
SB342,,,,,,,,,,,,PIL,0
SB362,,,,,,,,,,,,DIC,0
SB368,,,,,,,,,,,,DIC,0
SB445,,,,,,,,,,,,DIC,0
SB450,,,,,,,,,,,,PIL,0
SB476,,,,,,,,,,,,PIL,0
SB478,,,,,,,,,,,,PIL,0
SB488,,,,,,,,,,,,DIC,0
SB522,,,,,,,,,,,,DIC,0
SB54,,,,,,,,,,,,PIL,0
SB541,,,,,,,,,,,,DIC,0
SB612,,,,,,,,,,,,PIL,0
SB653,,,,,,,,,,,,PIL,0
SB665,,,,,,,,,,,,PIL,0
SB701,,,,,,,,,,,,PIL,0
SB706,,,,,,,,,,,,V,0
SB72,,,,,,,,,,,,DIC,0
SB722,,,,,,,,,,,,V,0
SB725,,,,,,,,,,,,PIL,0
SB733,,,,,,,,,,,,PIL,0
SB754,,,,,,,,,,,,PIL,0
SB774,,,,,,,,,,,,PIL,0
SB777,,,,,,,,,,,,PIL,0
SB78,,,,,,,,,,,,DIC,0
