Bill,Com 1,Pass Com 1,Incorporated,Pass Floor 1,Com 2,Pass Com 2,Pass Floor 2,Amended,To Gov,Returned,Passed,Disposition,VV,VEA Support
HB1013,H-GL,1,0,1,S-GLT,1,1,0,1,0,1,PiL,0,0
HB1019,H-F,0,0,0,,,,,,,,DiC,1,1
HB1029,H-E;H-A,0,0,0,,,,,,,,DiC,1,0
HB1045,H-CJ,0,0,0,,,,,,,,DiC,0,0
HB1061,H-E;H-CJ,0,0,0,,,,,,,,DiC,0,0
HB1131,H-E,0,0,0,,,,,,,,DiC,1,0
HB1132,H-E;H-CJ,0,0,0,,,,,,,,DiC,0,0
HB1134,H-E,1,0,0,,,,,,,,DiH,0,0
HB1165,H-E,0,0,0,,,,,,,,DiC,1,0
HB1186,H-E,0,0,0,,,,,,,,DiC,1,0
HB1199,H-MPP,0,0,0,,,,,,,,DiC,1,0
HB1200,H-CJ,0,1,0,,,,,,,,,1,0
HB1219,H-E,0,0,0,,,,,,,,DiC,1,0
HB1234,H-E,1,0,1,S-CJ,1,1,1,1,1,0,V,0,0
HB1279,H-E,1,0,1,S-EH,1,1,0,1,0,,PiL,0,0
HB1365,H-E,0,0,0,,,,,,,,DiC,1,0
HB1370,H-E,0,0,0,,,,,,,,DiC,1,0
HB1377,H-E,1,0,1,S-EH,1,1,1,1,0,1,PiL,0,0
HB164,H-E,0,0,0,,,,,,,,DiC,1,0
HB166,H-E;H-A,0,0,0,,,,,,,,DiC,1,0
HB167,H-E,0,0,0,,,,,,,,DiC,1,0
HB187,H-E,0,0,0,,,,,,,,DiC,0,0
HB228,H-E,0,0,0,,,,,,,,DiC,1,0
HB241,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,0
HB242,H-A,0,0,0,,,,,,,,DiC,0,1
HB259,H-E,1,0,1,S-EH,1,1,0,1,1,0,V,0,0
HB309,H-E;H-A,0,0,0,,,,,,,,DiC,1,0
HB314,H-HWI,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,0
HB357,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,0
HB358,H-E,0,0,0,,,,,,,,DiC,1,0
HB36,H-E,1,0,1,S-EH,1,1,1,1,0,1,PiL,0,0
HB381,H-E,1,0,1,S-EH,1,1,1,1,0,1,PiL,0,0
HB422,H-MPP,0,0,0,,,,,,,,DiC,1,0
HB423,H-MPP,0,0,0,,,,,,,,DiC,1,0
HB424,H-MPP,0,0,0,,,,,,,,DiC,1,0
HB436,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,0
HB457,H-E,0,0,0,,,,,,,,DiC,1,1
HB46,H-E,1,0,1,S-EH,1,1,1,1,0,1,PiL,0,0
HB47,H-E;H-A,1,0,1,S-EH;S-F,1,1,1,1,0,1,PiL,0,1
HB475,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,0
HB478,H-E,0,0,0,,,,,,,,DiC,1,0
HB516,H-E,1,0,1,S-EH,1,1,1,1,1,0,V,0,0
HB518,H-E,1,0,1,S-EH,1,1,0,1,1,0,V,0,0
HB519,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,0
HB520,H-E,0,0,0,,,,,,,,DiC,1,0
HB522,H-E,0,0,0,,,,,,,,DiC,1,0
HB525,H-E,1,0,1,S-R,1,1,1,1,0,1,PiL,0,0
HB547,H-E,0,0,0,,,,,,,,DiC,1,1
HB57,H-E,1,0,0,,,,,,,,DiH,0,0
HB573,H-E,0,0,0,,,,,,,,DiC,1,0
HB633,H-E,0,0,0,,,,,,,,DiC,1,0
HB659,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,0
HB663,H-GL,0,0,0,,,,,,,,DiC,1,0
HB670,H-CJ,0,0,0,,,,,,,,DiC,1,0
HB694,H-E,0,0,0,,,,,,,,DiC,1,1
HB71,H-E,0,0,0,,,,,,,,DiC,1,0
HB749,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,0
HB750,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,0
HB76,H-E,0,0,0,,,,,,,,DiC,0,0
HB781,H-GL,0,0,0,,,,,,,,DiC,0,0
HB798,H-E,0,0,0,,,,,,,,DiC,0,1
HB827,H-E,0,0,0,,,,,,,,DiC,1,0
HB831,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,0
HB833,H-E,0,0,0,,,,,,,,DiC,1,0
HB895,H-E,1,0,1,S-EH,1,1,1,1,0,1,PiL,0,0
HB925,H-E,0,0,0,,,,,,,,DiC,1,1
HB936,H-E,1,0,1,S-EH,0,0,,,,,DiS,0,0
HB953,H-E,0,0,0,,,,,,,,DiC,1,0
HB954,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,0
HB967,H-E,0,0,0,,,,,,,,DiC,1,0
HB975,H-ACNR,0,0,0,,,,,,,,DiC,1,0
HJ151,H-R,0,0,0,,,,,,,,DiC,1,1
HJ161,H-R,0,0,0,,,,,,,,DiC,1,0
HJ86,H-R,0,0,0,,,,,,,,DiC,1,1
SB138,S-CJ,0,0,0,,,,,,,,DiC,0,0
