Bill,Com 1,Pass Com 1,Incorporated,Pass Floor 1,Com 2,Pass Com 2,Pass Floor 2,Amended,To Gov,Returned,Passed,Disposition,VV
HB16,H-T,0,0,0,,,,,,,,DIC,1
HB17,H-CJ,0,1,0,,,,,,,,I,1
HB34,H-CJ,1,0,1,S-J,1,1,1,1,0,1,PIL,0
HB81,H-T,0,0,0,,,,,,,,DIC,0
HB90,H-T,1,0,0,,,,,,,,DIH,0
HB118,H-PS;H-CJ,0,0,0,,,,,,,,DIC,0
HB130,H-T,0,0,0,,,,,,,,DIC,0
HB157,H-T;H-CJ;H-A,1,0,1,S-T,0,0,,,,,DIC,0
HB170,H-T,0,0,0,,,,,,,,DIC,0
HB193,H-T,1,0,1,S-T,1,1,0,1,0,1,PIL,0
HB211,H-T,1,0,1,S-T,1,1,0,1,0,1,PIL,0
HB247,H-T,0,0,0,,,,,,,,DIC,0
HB261,H-CJ,0,0,0,,,,,,,,DIC,0
HB266,H-CJ;H-A,0,0,0,,,,,,,,DIC,0
HB283,H-T,0,0,0,,,,,,,,DIC,0
HB364,H-T,0,0,0,,,,,,,,DIC,0
HB377,H-T,0,0,0,,,,,,,,DIC,1
HB387,H-T,0,0,0,,,,,,,,DIC,1
HB411,H-T,1,0,1,S-T,1,1,0,1,0,1,PIL,0
HB429,H-T,0,0,0,,,,,,,,DIC,0
HB453,H-CJ,0,0,0,,,,,,,,DIC,0
HB465,H-T,1,0,1,S-T,1,1,0,1,0,1,PIL,0
HB490,H-T,0,0,0,,,,,,,,DIC,0
HB511,H-T,1,0,1,S-GLT,1,1,1,1,0,1,PIL,0
HB512,H-T,0,0,0,,,,,,,,DIC,1
HB523,H-LC,0,0,0,,,,,,,,DIC,1
HB555,H-GL;H-CJ,0,0,0,,,,,,,,DIC,0
HB561,H-T,1,0,1,S-T,1,1,0,1,0,1,PIL,0
HB585,H-CCT,1,0,1,S-LG,1,1,1,1,0,1,PIL,0
HB616,H-T,0,0,0,,,,,,,,DIC,0
HB619,H-T,0,0,0,,,,,,,,DIC,0
HB620,H-T,0,0,0,,,,,,,,DIC,1
HB621,H-LC;H-T,0,1,0,,,,,,,,I,1
HB631,H-F,0,0,0,,,,,,,,DIC,0
HB635,H-T,0,1,0,,,,,,,,DIC,1
HB642,H-T,0,0,0,,,,,,,,DIC,0
HB667,H-T;H-CJ,0,0,0,,,,,,,,DIC,0
HB675,H-T,1,0,1,S-T,1,1,1,0,,,DIH,0
HB677,H-T,0,0,0,,,,,,,,DIC,0
HB767,H-T,0,0,0,,,,,,,,DIC,0
HB771,H-LC,0,0,0,,,,,,,,DIC,1
HB772,H-T,0,0,0,,,,,,,,DIC,0
HB874,H-T,1,1,1,S-T,1,1,0,1,0,1,PIL,0
HB885,H-T;H-CJ,1,1,1,S-T;S-FA,1,1,0,1,0,1,PIL,0
HB891,H-CCT;H-F,0,0,0,,,,,,,,DIC,0
HB914,H-R,1,0,1,S-R,1,1,0,1,0,1,PIL,0
HB940,H-T,0,0,0,,,,,,,,DIC,0
HB941,H-T,1,0,1,S-T,1,1,1,1,0,1,PIL,0
HB946,H-T,0,0,0,,,,,,,,DIC,0
HB970,H-T,0,0,0,,,,,,,,DIC,1
HB978,H-T,0,0,0,,,,,,,,DIC,0
HB983,H-T,1,1,1,S-T,0,0,,,,,DIC,0
HB1066,H-T,1,0,1,S-T,1,1,1,1,0,1,PIL,0
HB1099,H-GL;H-A,1,0,1,S-GLT;S-FA,1,1,0,1,0,1,PIL,0
HB1106,,,,,,,,,,,,PIL,0
HB1117,,,1,,,,,,,,,I,1
HB1118,,,,,,,,,,,,PIL,0
HB1140,,,,,,,,,,,,DIC,0
HB1196,,,,,,,,,,,,PIL,0
HB1208,,,,,,,,,,,,PIL,0
HB1211,,,,,,,,,,,,PIL,0
HB1212,,,,,,,,,,,,DIC,0
HB1216,,,,,,,,,,,,DIC,0
HB1217,,,,,,,,,,,,PIL,0
HB1222,,,,,,,,,,,,PIL,0
HB1227,,,1,,,,,,,,,I,1
HB1236,,,,,,,,,,,,DIC,0
HB1243,,,,,,,,,,,,DIC,1
HB1245,,,,,,,,,,,,DIC,0
HB1259,,,,,,,,,,,,PIL,0
HB1278,,,,,,,,,,,,DIC,0
HB1296,,,1,,,,,,,,,I,1
HB1337,,,,,,,,,,,,PIL,0
HB1348,,,,,,,,,,,,PIL,0
HB1350,,,,,,,,,,,,DIC,0
HB1374,,,1,,,,,,,,,I,1
HB1377,,,,,,,,,,,,DIC,0
HB1389,,,,,,,,,,,,DIC,0
HB1390,,,,,,,,,,,,DIC,0
HB1396,,,,,,,,,,,,DIC,0
HB1414,,,,,,,,,,,,PIL,0
HB1427,,,,,,,,,,,,PIL,0
HB1438,,,,,,,,,,,,PIL,0
HB1439,,,,,,,,,,,,DiH,0
HB1442,,,,,,,,,,,,PIL,0
HB1455,,,,,,,,,,,,DiS,0
HB1467,,,,,,,,,,,,PIL,0
HB1476,,,,,,,,,,,,DIC,0
HB1511,,,,,,,,,,,,PIL,0
HB1518,,,,,,,,,,,,PIL,0
HB1538,,,1,,,,,,,,,I,1
HB1539,,,,,,,,,,,,DIC,0
