Bill,Com 1,Pass Com 1,Incorporated,Pass Floor 1,Com 2,Pass Com 2,Pass Floor 2,Amended,To Gov,Returned,Passed,Disposition,VV
HB1299,H-E,0,0,0,,,,,,,,DiC,0
HB1302,H-E,0,0,0,,,,,,,,DiC,0
HB1303,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0
HB1304,H-E;H-A,0,0,0,,,,,,,,DiC,1
HB1306,H-E,0,0,0,,,,,,,,DiC,0
HB1307,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0
HB1309,H-E,1,0,1,S-EH,0,0,,,,,DiS,0
HB1313,H-E,0,0,0,,,,,,,,DiC,1
HB1314,H-A,0,0,0,,,,,,,,DiC,1
HB1325,H-E;H-A,0,0,0,,,,,,,,DiC,1
HB1336,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0
HB1351,H-E,1,0,1,S-EH,1,1,1,1,0,1,PiL,0
HB1361,H-E;H-A,1,0,1,S-EH,0,0,,,,,DiC,0
HB1366,H-CJ,1,0,1,S-CJ,1,1,0,1,0,1,PiL,0
HB1368,H-E,0,0,0,,,,,,,,DiC,0
HB1380,H-E,0,0,0,,,,,,,,DiC,1
HB1419,H-E;H-A,1,0,1,S-EH,1,1,0,1,0,1,PiL,0
HB1441,H-HWI,0,0,0,,,,,,,,DiC,1
HB1443,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0
HB1448,H-E,0,0,0,,,,,,,,DiC,1
HB1467,H-E,0,0,0,,,,,,,,DiC,0
HB1490,H-E; H-A,1,0,1,S-EH,1,1,0,1,0,1,PiL,0
HB1491,H-E,0,0,0,,,,,,,,DiC,1
HB1531,H-T,1,0,1,S-T,1,1,1,1,0,1,PiL,0
HB1537,H-CJ,0,0,0,,,,,,,,DiC,1
HB1557,H-E,0,0,0,,,,,,,,DiC,0
HB1566,H-E,0,0,0,,,,,,,,DiC,1
HB1581,H-E,1,0,1,S-EH,0,0,,0,,,DiS,0
