Bill,Com 1,Pass Com 1,Incorporated,Pass Floor 1,Com 2,Pass Com 2,Pass Floor 2,Amended,To Gov,Returned,Passed,Disposition,VV
HB3,H-PE,1,0,1,S-PE,0,0,0,0,0,0,DiC,0
HB20,H-ACNR,1,0,1,S-ACNR,1,1,0,1,0,1,PiL,0
HB21,H-F,0,0,0,,,,,0,0,0,DiC,1
HB22,H-F,1,0,1,S-F,1,1,0,1,0,1,PiL,0
HB26,H-PE,0,0,0,,,,,0,0,0,DiC,1
HB42,H-CJ,0,0,0,,,,,0,0,0,DiC,1
HB57,H-E;H-E,0,0,0,,,,,0,0,0,DiC,0
HB61,H-GL,0,0,0,,,,,0,0,0,DiC,1
HB72,H-CL,0,0,0,,,,,0,0,0,DiC,1
HB83,H-MPP;H-A,0,0,0,,,,,0,0,0,DiC,1
HB92,H-F,0,0,0,,,,,0,0,0,DiC,0
HB100,H-PE,0,0,0,,,,,0,0,0,DiC,1
HB101,H-PE,0,0,0,,,,,0,0,0,DiC,1
HB103,H-CL,0,0,0,,,,,0,0,0,DiC,0
HB113,H-CJ,0,0,0,,,,,0,0,0,DiC,1
HB119,H-MPP,0,1,0,,,,,0,0,0,Inc [HB90],1
HB120,H-F,0,0,0,,,,,0,0,0,DiC,1
HB122,H-R;H-A,0,0,0,,,,,0,0,0,DiC,1
HB152,H-CJ,0,0,0,,,,,0,0,0,DiC,1
HB154,H-CJ,0,0,0,,,,,0,0,0,DiC,1
HB175,H-CL,1,0,1,S-CL,0,0,0,0,0,0,DiC,0
HB179,H-GL,0,0,0,,,,,0,0,0,DiC,1
HB187,H-E,0,0,0,,,,,0,0,0,DiC,0
HB201,H-T,0,0,0,,,,,0,0,0,DiC,1
HB207,H-CL,0,0,0,,,,,0,0,0,DiC,1
HB214,H-R,0,0,0,,,,,0,0,0,DiC,1
HB215,H-F,0,0,0,,,,,0,0,0,DiC,1
HB228,H-E,0,0,0,,,,,0,0,0,DiC,1
HB229,H-E,0,0,0,,,,,0,0,0,DiC,1
HB242,H-A,0,0,0,,,,,0,0,0,DiC,1
HB247,H-PE,0,0,0,,,,,0,0,0,DiC,1
HB264,H-GL,1,0,1,S-GLT,1,1,0,1,1,0,V,0
HB265,H-E,0,0,0,,,,,0,0,0,DiC,1
HB266,H-CJ,0,0,0,,,,,0,0,0,DiC,1
HB272,H-CJ,0,0,0,,,,,0,0,0,DiC,1
HB288,H-CCT,0,0,0,,,,,0,0,0,DiC,1
HB296,H-CJ,0,0,0,,,,,0,0,0,DiC,0
HB318,H-ACNR,0,0,0,,,,,0,0,0,DiC,1
HB336,H-GL,0,0,0,,,,,0,0,0,DiC,1
HB347,H-HWI,0,0,0,,,,,0,0,0,DiC,1
HB349,H-HWI,0,0,0,,,,,0,0,0,DiC,1
HB357,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0
HB361,H-CJ,0,0,0,,,,,0,0,0,DiC,1
HB370,H-PE,0,0,0,,,,,0,0,0,DiC,1
HB377,H-CJ;H-A,0,0,0,,,,,0,0,0,DiC,1
HB385,H-GL,0,0,0,,,,,0,0,0,DiC,0
HB390,H-CJ,0,0,0,,,,,0,0,0,DiC,1
HB406,H-E,0,0,0,,,,,0,0,0,DiC,1
HB414,H-T,0,0,0,,,,,0,0,0,DiC,1
HB422,H-MPP,0,0,0,,,,,0,0,0,DiC,1
HB423,H-MPP,0,0,0,,,,,0,0,0,DiC,1
HB432,H-GL,0,0,0,,,,,0,0,0,DiC,1
HB457,H-E,0,0,0,,,,,0,0,0,DiC,1
HB460,H-CCT,0,0,0,,,,,0,0,0,DiC,1
HB468,H-HWI,0,0,0,,,,,0,0,0,DiC,0
HB478,H-E,0,0,0,,,,,0,0,0,DiC,1
HB479,H-ACNR,0,0,0,,,,,0,0,0,DiC,1
HB481,H-MPP,1,0,1,S-RSS,1,1,1,1,1,0,V,0
HB482,H-MPP,0,0,0,,,,,0,0,0,DiC,1
HB518,H-E,1,0,1,S-EH,1,1,0,1,1,0,V,0
HB531,H-PE,0,0,0,,,,,0,0,0,DiC,1
HB544,H-F,0,0,0,,,,,0,0,0,DiC,1
HB562,H-HWI,1,0,1,S-EH,1,1,1,1,1,1,PiL,0
HB619,H-ACNR,0,0,0,,,,,0,0,0,DiC,0
HB634,H-CL,0,0,0,,,,,0,0,0,DiC,0
HB635,H-CJ,0,0,0,,,,,0,0,0,DiC,1
HB662,H-E,0,0,0,,,,,0,0,0,DiC,1
HB670,H-CJ,0,0,0,,,,,0,0,0,DiC,1
HB679,H-CJ,0,0,0,,,,,0,0,0,DiC,1
HB701,H-CJ,0,0,0,,,,,0,0,0,DiC,0
HB702,H-CL,0,0,0,,,,,0,0,0,DiC,1
HB709,H-CJ,0,0,0,,,,,0,0,0,DiC,1
HB726,H-T,0,0,0,,,,,0,0,0,DiC,1
HB737,H-CJ,0,0,0,,,,,0,0,0,DiC,1
HB754,H-CJ,1,0,1,S-CJ; S-F,0,0,0,0,0,0,DiC,0
HB763,H-A,0,0,0,,,,,0,0,0,DiC,0
HB774,H-CJ,0,0,0,,,,,0,0,0,DiC,1
HB779,H-CJ,1,1,1,S-R,0,0,0,0,0,0,Inc [HB1362],0
HB803,H-E,0,0,0,,,,,0,0,0,DiC,1
HB806,H-PE,0,0,0,,,,,0,0,0,DiC,0
HB811,H-CJ,1,0,1,S-CJ,0,0,0,0,0,0,DiC,0
HB824,H-HWI,0,0,0,,,,,0,0,0,DiC,1
HB828,H-HWI,0,0,0,,,,,0,0,0,DiC,1
HB826,H-T,0,0,0,,,,,0,0,0,DiC,1
HB845,H-CJ,0,0,0,,,,,0,0,0,DiC,1
HB877,H-F,0,0,0,,,,,0,0,0,DiC,1
HB879,H-GL,1,0,1,S-RSS,1,1,1,1,0,1,PiL,0
HB887,H-GL,0,0,0,,,,,0,0,0,DiC,1
HB897,H-T;H-CJ,0,0,0,,,,,0,0,0,DiC,1
HB898,H-GL,0,0,0,,,,,0,0,0,DiC,1
